id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,isRetweet,isQuote,Traffic_Reason,Mumbai_Region
2068210048673997133,https://x.com/MTPHereToHelp/status/2068210048673997133,"मिक्सरच्या बिघाडामुळे सायन हॉस्पिटलसमोर 60 फूट रोड (माहीम) येथे उत्तरेकडे जाणारी वाहतूक संथ गतीने सुरू आहे.
Traffic Movement Is Slow At 60 Feet Road Opp. Sion Hospital (Mahim) North Bound Due To Mixer Breakdown.
 #MTPTrafficUpdate",Sat Jun 20 05:51:15 +0000 2026,0,0,0,0,False,False,Vehicle Breakdown,Eastern Suburbs (EEH Axis)
2068199045181649373,https://x.com/MTPHereToHelp/status/2068199045181649373,वाहतूक सुरळीत सुरू झाली आहे.  Now Traffic Is Clear       #MTPTrafficUpdate,Sat Jun 20 05:07:32 +0000 2026,0,0,0,0,False,False,Traffic Cleared / Normal,Other Landmark
2068193514849251817,https://x.com/MTPHereToHelp/status/2068193514849251817,"गोवंडी पूर्व येथील ना. ग. आचार्य मार्ग संपूर्ण सिमेंट काँक्रिटचा बनवला आहे, लिज्जत पापड कंपनीसमोरील आरे दुग्ध केंद्राजवळ हा रस्त्याचा पट्टा डांबरी का बनवला ? येथे सिमेंट काँक्रिटचा रस्ता का बनवला नाही?@mybmc @MTPHereToHelp @CMOMaharashtra @MahaDGIPR @CollectorMumSub @mybmcWardME https://t.co/dmSLcSBgf7",Sat Jun 20 04:45:33 +0000 2026,0,2,0,0,False,False,General Traffic Alert,Other Landmark
2068193409903525888,https://x.com/MTPHereToHelp/status/2068193409903525888,"There is broken bmc dranage cover, it may harmful for walking people, location Chakala junction, near sai place hotel and reyansh clinic,andheri east please change asap @mybmc @MTPHereToHelp @CPMumbaiPolice https://t.co/5QoptJhlqx",Sat Jun 20 04:45:08 +0000 2026,0,2,0,0,False,False,General Traffic Alert,Western Suburbs (WEH Axis)
2068183025024987231,https://x.com/MTPHereToHelp/status/2068183025024987231,"“MG Road, Shakar Theatre 400089
Corner, near Tilak Nagar Circle, half the road is blocked by dumpers. Please have the local administration pay attention, there is a risk of accidents.”

@MumbaiPolice @MTPHereToHelp https://t.co/yMqATemXg0",Sat Jun 20 04:03:52 +0000 2026,0,1,0,0,False,False,Vehicle Breakdown,Other Landmark
2068182301230711128,https://x.com/MTPHereToHelp/status/2068182301230711128,"Example of Lack of Civic sense ..people parking their vehicles senselessly 
@MTPHereToHelp - can we take action please.. https://t.co/WxSBVnLvO0",Sat Jun 20 04:01:00 +0000 2026,0,1,0,0,False,False,General Traffic Alert,Other Landmark
2068179843603374272,https://x.com/MTPHereToHelp/status/2068179843603374272,"शिवडी गाडी अड्डा हाजी बंदर रोड या ठिकाणी रोडवर गाडी लावली आहे 
गाडी लावल्यामुळे ट्रॅफिक होत आहे 
त्यामुळे ये येणाऱ्या जाणारा नागरिकांना त्रास होत आहे आपल्याला विनंती आहे याबद्दल नोंद घ्यावी 
@MTPHereToHelp https://t.co/Tiaf9WWKdA",Sat Jun 20 03:51:14 +0000 2026,0,1,0,0,False,False,General Traffic Alert,Other Landmark
2068174322754334926,https://x.com/MTPHereToHelp/status/2068174322754334926,"बलकर ट्रकच्या बिघाडामुळे प्रवासी जंक्शन लिंक रोड (जोगेश्वरी) येथे दक्षिणेकडे जाणारी वाहतूक संथ गतीने सुरू आहे.
Traffic Movement Is Slow At Pravasi Junction Link Road (Jogeshwari) South Bound Due To Bulker Truck Breakdown.
 #MTPTrafficUpdate",Sat Jun 20 03:29:18 +0000 2026,0,0,2,0,False,False,Vehicle Breakdown,Western Suburbs (WEH Axis)
2068060844148318621,https://x.com/MTPHereToHelp/status/2068060844148318621,"Club Shiloh has once again started encroaching on the footpath on New Link Road, beyond the Lower Oshiwara Metro station and opposite City Mall. @MTPHereToHelp @MumbaiPolice @CPMumbaiPolice 
Date 20/06/2026
Time 01:23:18 AM https://t.co/TyQWGsKwha",Fri Jun 19 19:58:22 +0000 2026,15,4,19,0,False,False,General Traffic Alert,Other Landmark
2068058382821622123,https://x.com/MTPHereToHelp/status/2068058382821622123,I tweeted at 10:38 and now I am tweeting again at 1:10 Since my last tweet even more vehicles have started parking here. What is the @MTPHereToHelp doing Just look for yourself at the of traffic being caused by this club I request for @MumbaiPolice You take some action @AmboliPS https://t.co/nkrUNLaMKP,Fri Jun 19 19:48:35 +0000 2026,0,2,0,0,False,False,General Traffic Alert,Other Landmark
