id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,isRetweet,isQuote
2068212470410514881,https://x.com/MTPHereToHelp/status/2068212470410514881,@0707FAWAZ Thanks for bringing this to our notice. D.N.Nagar Traffic Division has been informed about this.,Sat Jun 20 06:00:53 +0000 2026,0,0,0,0,False,False
2068211830758183350,https://x.com/MTPHereToHelp/status/2068211830758183350,@mybmcWardKE @vijendra224 Thanks for bringing this to our notice. Sahar Traffic Division has been informed about this.,Sat Jun 20 05:58:20 +0000 2026,0,0,0,0,False,False
2068211418315530589,https://x.com/MTPHereToHelp/status/2068211418315530589,@vijaybhatter8 Thanks for bringing this to our notice. Worli Traffic Division has been informed about this.,Sat Jun 20 05:56:42 +0000 2026,0,0,0,0,False,False
2068210048673997133,https://x.com/MTPHereToHelp/status/2068210048673997133,"मिक्सरच्या बिघाडामुळे सायन हॉस्पिटलसमोर 60 फूट रोड (माहीम) येथे उत्तरेकडे जाणारी वाहतूक संथ गतीने सुरू आहे.
Traffic Movement Is Slow At 60 Feet Road Opp. Sion Hospital (Mahim) North Bound Due To Mixer Breakdown.
 #MTPTrafficUpdate",Sat Jun 20 05:51:15 +0000 2026,0,0,0,0,False,False
2068209621656088906,https://x.com/MTPHereToHelp/status/2068209621656088906,@MTPHereToHelp @mybmc @MTPHereToHelp double parking system see the photography evidence @bmc @mybmcwardKW  @AmeetSatam @mayor_mumbai @KiritSomaiya @MTPHereToHelp https://t.co/qMpPDwKeKZ,Sat Jun 20 05:49:33 +0000 2026,0,1,0,0,False,False
2068208461754880005,https://x.com/MTPHereToHelp/status/2068208461754880005,@vijendra224 @mybmc We regret your inconvenience. We have requested @MTPHereToHelp to attend this as soon as possible.,Sat Jun 20 05:44:57 +0000 2026,0,1,0,0,False,False
2068208252937265339,https://x.com/MTPHereToHelp/status/2068208252937265339,"@MTPHereToHelp Old Prabhadevi Rd (opp Century, near Worli Fire Brigade): illegal parking on both sides and wrong-side two-wheelers in a one way lane, bikes being parked on footpath, causing chaos. Please take action https://t.co/jtBqSjed3Z",Sat Jun 20 05:44:07 +0000 2026,0,1,0,0,False,False
2068207206173233299,https://x.com/MTPHereToHelp/status/2068207206173233299,@nimesh4all Thanks for bringing this to our notice. Tardeo Traffic Division has been informed about this.,Sat Jun 20 05:39:58 +0000 2026,0,0,0,0,False,False
2068206038210535907,https://x.com/MTPHereToHelp/status/2068206038210535907,@MTPHereToHelp tempo parked outside nathani market belasis bridge mumbai central https://t.co/rHDw4Lkuz7,Sat Jun 20 05:35:19 +0000 2026,0,1,0,0,False,False
2068203447376355741,https://x.com/MTPHereToHelp/status/2068203447376355741,@uploadingerrors Thanks for bringing this to our notice. Chembur Traffic Division has been informed about this.,Sat Jun 20 05:25:01 +0000 2026,0,1,0,0,False,False
2068201835861819679,https://x.com/MTPHereToHelp/status/2068201835861819679,"@MTPHereToHelp @CPMumbaiPolice @MumbaiPolice idiots are parking vehicles on the service road in front of the house gate...infront of ""Rutuja "" house , sagar vetkar marg, near Tilak Nagar railway station west ...we complain multiple time but police didn't take any action?? https://t.co/IEWE4lYf9A",Sat Jun 20 05:18:37 +0000 2026,0,1,0,0,False,False
2068200560382320888,https://x.com/MTPHereToHelp/status/2068200560382320888,@abhidreamz10 Thanks for bringing this to our notice. Kanjurmarg Traffic Division has been informed about this.,Sat Jun 20 05:13:33 +0000 2026,0,0,0,0,False,False
2068200038908751908,https://x.com/MTPHereToHelp/status/2068200038908751908,@biybalu Thanks for bringing this to our notice. Samtanagar Traffic Division has been informed about this.,Sat Jun 20 05:11:29 +0000 2026,0,0,0,0,False,False
2068199635651527166,https://x.com/MTPHereToHelp/status/2068199635651527166,@MTPHereToHelp @mybmc Take action Has par law @mybmc @mybmcwardKW @mybmc @AddlCPWestMum @mayor_mumbai,Sat Jun 20 05:09:53 +0000 2026,1,0,1,0,False,False
2068199045181649373,https://x.com/MTPHereToHelp/status/2068199045181649373,वाहतूक सुरळीत सुरू झाली आहे.  Now Traffic Is Clear       #MTPTrafficUpdate,Sat Jun 20 05:07:32 +0000 2026,0,0,0,0,False,False
2068197548813406313,https://x.com/MTPHereToHelp/status/2068197548813406313,@AlmeidaRich Thanks for bringing this to our notice. Bandra  Traffic Division has been informed to do the needful.,Sat Jun 20 05:01:35 +0000 2026,0,0,0,0,False,False
2068196508311376028,https://x.com/MTPHereToHelp/status/2068196508311376028,"@Pawar_MukeshC माझी Mumbai, आपली BMC
@mybmc",Sat Jun 20 04:57:27 +0000 2026,0,0,0,0,False,False
2068194875640803516,https://x.com/MTPHereToHelp/status/2068194875640803516,"@MTPHereToHelp Saturday, 20th June 2026. Action taken clearly is ineffective as bikes continues to be parked. Why can't there be signage of No parking and provision of Towing and Fine be displayed. Strictly NO parking from 11pm to 5am can be implemented. https://t.co/HuQuE7z4kW",Sat Jun 20 04:50:58 +0000 2026,0,1,0,0,False,False
2068194780954480683,https://x.com/MTPHereToHelp/status/2068194780954480683,"@alertcitizennn Please note, that @( @mybmc) can help you most appropriately in this. Requesting them to help you with this.",Sat Jun 20 04:50:35 +0000 2026,0,0,0,0,False,False
2068194571394449437,https://x.com/MTPHereToHelp/status/2068194571394449437,"@mybmcWardRS @mybmc @MCGM_BMC @MTPHereToHelp  
Hawker's  encroachment  , 2 wheeler driving  on footpath  ,  
Quality  of footpath  &amp; light on same . 
#kandivali  #lokhandwala  #mumbai 
400101  , 
Make footpath  walkable . 
@AshwiniBhide https://t.co/1tTTPh44Va",Sat Jun 20 04:49:45 +0000 2026,0,1,0,0,False,False
2068194444382449682,https://x.com/MTPHereToHelp/status/2068194444382449682,"@shivangjpatel Please note, that the address you have provided is inadequate. Request you to share it in detail please.",Sat Jun 20 04:49:15 +0000 2026,0,0,0,0,False,False
2068194300882821224,https://x.com/MTPHereToHelp/status/2068194300882821224,@MTPHereToHelp Pavement Parking on 29th Road Bandra West outside House of Wadhwa https://t.co/CSNGGpOssQ,Sat Jun 20 04:48:41 +0000 2026,0,1,0,0,False,False
2068193514849251817,https://x.com/MTPHereToHelp/status/2068193514849251817,"गोवंडी पूर्व येथील ना. ग. आचार्य मार्ग संपूर्ण सिमेंट काँक्रिटचा बनवला आहे, लिज्जत पापड कंपनीसमोरील आरे दुग्ध केंद्राजवळ हा रस्त्याचा पट्टा डांबरी का बनवला ? येथे सिमेंट काँक्रिटचा रस्ता का बनवला नाही?@mybmc @MTPHereToHelp @CMOMaharashtra @MahaDGIPR @CollectorMumSub @mybmcWardME https://t.co/dmSLcSBgf7",Sat Jun 20 04:45:33 +0000 2026,0,2,0,0,False,False
2068193409903525888,https://x.com/MTPHereToHelp/status/2068193409903525888,"There is broken bmc dranage cover, it may harmful for walking people, location Chakala junction, near sai place hotel and reyansh clinic,andheri east please change asap @mybmc @MTPHereToHelp @CPMumbaiPolice https://t.co/5QoptJhlqx",Sat Jun 20 04:45:08 +0000 2026,0,2,0,0,False,False
